international,hours_study,missed_classes,gpa,showers_per_week,does_smoke,does_homework,has_stress,avg_sleep,confidence,passed
1,0.25,3,3.26,4,0,1,1,6.67,medium,1
0,8.7,14,1.32,7,0,0,0,8.0,low,0
0,7.95,5,1.18,6,0,0,0,4.3,high,1
0,7.57,7,2.33,7,1,1,0,3.23,medium,1
0,11.45,14,1.49,3,0,1,1,4.35,low,0
0,16.97,1,1.67,3,0,1,0,4.64,high,1
0,15.87,0,2.63,6,0,1,0,2.43,medium,1
0,1.64,12,3.41,0,0,1,0,1.89,medium,0
0,10.09,2,1.88,3,0,1,0,4.59,medium,1
0,11.78,5,3.15,2,0,1,0,5.16,medium,0
0,11.15,10,1.77,3,0,0,0,5.7,low,0
0,15.29,8,3.72,2,0,1,1,2.98,medium,1
0,3.52,3,3.05,3,0,1,1,5.55,medium,1
0,7.1,5,1.09,3,0,1,0,6.15,medium,0
0,12.26,13,2.96,2,0,1,1,3.11,medium,0
1,9.11,11,1.89,4,0,0,0,2.16,high,0
0,18.64,7,2.45,3,0,1,0,3.28,medium,1
0,2.51,12,2.24,6,0,1,1,7.85,medium,0
0,8.74,2,3.59,6,0,1,1,4.06,high,1
0,0.7,0,2.91,2,0,1,1,4.82,high,1
0,19.8,9,1.52,6,0,1,0,6.53,high,1
0,16.67,12,1.16,3,0,1,0,4.96,medium,0
1,9.1,11,3.4,0,0,1,1,5.06,medium,1
0,11.75,4,1.98,3,0,1,1,3.45,medium,1
1,0.47,0,1.99,0,0,1,0,2.35,high,1
0,12.03,4,3.53,1,0,1,0,7.73,medium,1
1,12.73,4,3.86,1,0,1,1,5.71,medium,1
0,13.09,7,3.16,7,0,1,1,5.55,high,1
0,8.35,4,3.13,6,0,1,1,1.59,medium,1
0,18.32,2,3.13,1,0,0,1,2.46,low,1
0,0.88,11,3.66,0,0,1,1,2.5,low,1
0,17.75,0,1.2,3,1,1,0,3.14,medium,1
0,15.21,12,3.74,0,0,1,0,7.22,medium,1
1,11.55,10,2.77,0,1,1,1,1.81,medium,1
0,4.63,2,2.75,1,0,0,0,5.44,medium,1
0,15.63,5,3.97,0,0,1,1,4.73,medium,1
1,11.19,5,2.13,5,0,0,0,6.21,high,1
1,0.0,14,3.05,5,0,0,0,1.53,medium,0
1,11.43,9,1.46,0,0,0,0,3.4,high,0
0,11.41,8,1.54,4,1,1,1,1.11,medium,0
0,19.64,5,1.68,3,0,1,1,5.38,low,1
0,6.65,15,2.14,1,1,1,0,4.99,low,0
0,12.86,10,3.58,4,0,0,1,5.99,high,1
0,19.98,11,3.36,3,0,0,1,6.2,low,1
0,5.72,4,3.18,0,0,1,0,6.56,low,1
1,19.04,9,2.88,3,0,1,0,3.79,medium,1
1,4.41,4,3.87,6,0,1,1,4.64,low,1
0,11.81,14,3.77,6,0,1,0,4.9,high,1
0,7.9,5,2.39,1,0,1,0,2.74,low,1
0,8.28,5,1.79,0,0,1,1,7.62,medium,1
0,4.09,14,1.22,0,0,1,0,7.86,medium,0
0,12.05,9,2.09,0,0,1,0,1.57,medium,1
0,15.48,3,3.92,7,0,1,1,6.23,low,1
0,16.76,13,2.65,3,0,1,1,7.71,medium,1
1,10.96,10,3.81,0,0,1,0,1.99,medium,1
0,7.16,15,1.35,7,1,1,0,1.38,medium,0
0,19.8,4,2.87,7,0,1,1,6.5,medium,1
0,2.34,5,3.79,6,0,0,1,4.83,medium,0
0,16.63,14,2.41,6,0,1,0,2.01,low,1
0,7.92,5,2.39,4,0,1,1,3.6,medium,1
0,14.5,9,3.0,5,0,1,1,2.47,high,1
0,1.23,10,3.91,6,0,1,0,3.89,low,1
0,4.11,13,1.11,6,0,0,1,2.25,medium,0
0,1.9,13,1.27,5,0,1,1,7.15,high,1
0,9.22,15,1.64,2,0,0,1,5.28,high,0
0,18.69,7,2.25,6,0,1,1,2.83,medium,1
0,8.28,4,3.52,7,0,1,0,1.02,medium,1
0,2.98,11,3.62,0,0,1,0,1.43,medium,0
0,8.87,4,1.36,4,0,1,0,7.89,medium,0
0,13.76,10,1.76,2,0,1,1,3.87,medium,0
0,3.8,3,2.35,7,0,0,0,2.72,medium,1
0,10.85,8,2.74,7,0,1,0,1.28,medium,1
0,12.39,12,1.62,5,0,1,0,5.57,medium,0
1,18.62,7,3.99,7,0,0,0,6.78,low,0
1,3.83,14,1.24,7,0,1,0,5.78,low,0
0,16.15,12,2.28,5,0,1,0,2.77,medium,1
0,7.33,5,1.9,5,1,1,0,7.68,medium,0
0,5.82,13,2.58,1,0,0,1,2.01,low,0
0,3.55,15,3.51,5,0,0,1,5.19,medium,0
0,17.88,9,3.84,6,0,1,0,6.36,medium,1
0,12.32,8,3.89,3,0,0,0,7.42,medium,1
0,15.96,12,3.2,1,0,1,1,3.78,medium,1
0,15.12,3,3.91,4,0,0,1,7.18,medium,1
1,5.59,7,2.07,5,1,1,1,7.31,high,0
0,15.39,15,2.56,7,1,1,1,5.13,high,0
1,12.68,1,1.77,6,0,0,1,3.77,medium,1
0,7.68,0,1.31,0,0,1,0,2.19,medium,1
0,3.37,0,3.43,5,0,0,1,2.11,medium,1
1,9.5,0,3.06,4,0,1,0,6.59,low,1
0,8.41,13,2.82,7,0,0,0,3.28,low,0
0,11.71,6,1.53,7,0,1,0,6.76,medium,1
1,13.1,10,3.17,4,0,1,0,5.45,medium,1
0,16.18,3,1.83,1,1,0,0,6.5,low,1
0,2.22,2,2.52,7,0,0,1,4.08,high,0
0,20.16,5,3.69,1,0,1,0,5.67,high,1
0,5.04,10,1.66,7,0,1,0,4.73,medium,0
0,12.78,8,1.27,7,1,0,0,5.06,high,0
0,5.41,13,2.54,2,0,0,0,5.19,low,0
0,15.61,7,2.96,1,0,1,0,7.46,medium,1
0,13.49,3,2.49,1,0,1,1,6.86,low,1
1,2.14,11,3.65,4,0,0,1,4.5,low,0
0,13.78,12,1.84,2,0,1,1,5.65,low,1
1,1.03,11,2.9,3,0,1,0,5.87,high,0
0,13.74,1,3.62,6,0,0,0,5.64,low,1
0,8.94,13,1.66,6,1,1,0,3.36,medium,1
0,0.85,9,3.58,3,0,1,0,6.54,high,1
0,19.16,4,1.43,5,0,0,0,5.11,medium,1
0,7.01,9,3.32,2,0,0,1,6.57,high,0
0,11.81,12,3.27,5,1,1,0,1.19,high,1
0,2.81,1,1.49,2,0,0,0,7.1,low,0
1,17.5,12,3.06,6,0,1,0,6.78,low,1
1,5.68,1,1.7,5,0,1,1,3.22,low,0
0,10.57,9,2.58,5,0,0,0,5.17,high,0
0,9.8,6,3.83,7,0,1,1,4.84,low,1
0,9.9,9,1.97,1,0,1,1,7.59,low,0
0,7.5,8,1.12,2,1,1,0,7.4,high,0
0,14.83,15,1.22,6,0,1,0,7.11,high,0
1,16.39,11,1.22,6,1,1,0,7.57,high,1
0,18.1,8,1.14,6,0,1,1,6.66,high,1
0,15.39,12,1.22,0,0,1,1,0.93,medium,0
1,13.73,0,3.66,0,1,0,1,7.41,medium,1
0,14.35,12,2.54,2,0,1,0,6.15,medium,1
0,2.59,11,1.72,1,0,1,0,7.71,medium,0
0,12.41,2,2.87,2,1,0,1,6.86,medium,1
1,16.93,0,2.93,4,0,0,0,1.95,medium,0
0,4.92,12,2.86,4,0,1,0,6.8,high,1
0,9.38,8,2.6,7,0,1,0,6.02,medium,1
0,15.79,11,3.38,5,0,1,1,7.94,medium,1
0,4.88,12,3.25,1,0,1,1,4.28,medium,0
0,13.87,14,3.87,3,0,0,0,6.7,medium,1
1,14.87,6,1.36,2,0,1,0,5.05,low,1
0,11.95,10,2.91,7,0,1,1,1.34,low,0
0,17.91,11,1.83,5,0,1,1,2.53,medium,0
0,11.1,9,3.64,7,0,1,1,5.85,medium,1
0,10.48,8,1.26,3,0,1,0,6.98,low,0
0,0.77,8,3.83,6,0,1,0,1.26,low,1
0,11.57,15,1.7,2,0,1,0,3.18,medium,0
1,8.67,10,1.11,0,0,1,0,3.32,high,0
0,6.58,4,2.83,3,0,1,0,1.26,medium,1
0,2.49,1,3.64,3,0,1,0,3.38,low,1
0,2.39,7,3.79,0,0,1,0,1.92,low,1
0,5.62,4,1.57,5,1,1,0,2.04,low,0
1,1.25,10,1.16,7,0,0,1,6.24,medium,0
0,5.5,15,3.93,3,0,1,1,3.34,medium,0
1,10.13,3,2.81,1,0,0,0,1.28,low,1
0,10.03,0,1.03,6,0,0,1,7.72,low,0
0,19.53,7,2.11,5,0,1,0,5.52,low,1
0,5.06,14,2.69,7,0,0,1,3.37,low,0
0,15.52,7,3.07,0,0,1,0,5.11,medium,1
0,19.0,5,2.08,3,0,1,0,4.44,low,1
0,13.45,9,3.53,1,0,0,1,3.42,medium,1
0,14.74,6,2.92,0,0,0,0,2.5,low,1
0,4.91,7,2.44,2,0,1,1,5.37,medium,0
0,15.39,0,1.93,6,0,1,0,3.96,medium,1
0,18.45,0,1.39,4,1,1,0,4.3,medium,1
1,14.53,0,2.69,3,0,1,0,2.74,high,0
0,15.19,6,1.62,1,0,0,0,7.87,high,1
1,10.05,4,2.93,6,0,1,0,2.04,medium,1
0,8.25,14,3.41,6,0,1,1,4.4,high,0
0,17.91,10,3.24,1,0,1,0,7.37,medium,1
0,12.43,6,3.81,1,0,1,0,4.28,low,1
1,3.99,13,3.35,2,0,1,0,6.64,high,1
0,17.57,8,3.43,6,0,0,0,6.1,high,1
0,16.51,8,1.74,4,0,0,0,3.52,high,1
1,15.23,0,1.47,3,0,1,1,7.31,medium,1
1,15.09,12,1.15,7,0,1,0,1.63,high,0
0,13.86,5,4.0,0,0,1,0,2.5,high,1
